53827,Chittagong ***Bangladesh ***
53800,Mongla; Mungla Anchorage ***Bangladesh ***
27201,Bridgetown ***Barbados ***
27210,Oistino ***Barbados ***
27213,Speightstown ***Barbados ***
42300,All Other Belgium Ports ***Belgium ***
42305,Antwerp; Anvers ***Belgium ***
42311,Bruges; Brugge ***Belgium ***
42315,Brussels; Bruxelles ***Belgium ***
42300,Ertvelde ***Belgium ***
42331,Gand; Ghent; Gent ***Belgium ***
42300,Haren ***Belgium ***
42385,Hemiksem; Himixen ***Belgium ***
42300,Humbeek ***Belgium ***
42351,Ostend ***Belgium ***
42300,Rieme ***Belgium ***
42306,Schelde; Schelde Terminal ***Belgium ***
42300,Selzaete ***Belgium ***
42300,Terdonck Cluysen ***Belgium ***
42300,Terdouk ***Belgium ***
42300,Vilvoorde; Vilvorde ***Belgium ***
42381,Zeebrugge ***Belgium ***
42300,Zelzate ***Belgium ***
42300,Zwijndrecht; Zwyndrecht ***Belgium ***
20801,Belize ***Belize ***
20802,Big Creek ***Belize ***
20803,Dangriga ***Belize ***
20800,Other Belize Ports ***Belize ***
20800,Punta Gorda ***Belize ***
20800,San Pedro ***Belize ***
20803,Stann Creek ***Belize ***
76100,All Other Benin Ports ***Benin ***
76101,Cotonou ***Benin ***
76100,Grand Popo ***Benin ***
76102,Seme Terminal ***Benin ***
23299,All Other Bermuda Ports ***Bermuda ***
23299,"Freeport, Ireland Island ***Bermuda ***"
23201,Hamilton ***Bermuda ***
23251,St. Georges; Saint Georges ***Bermuda ***
35198,Abaetetuba ***Brazil ***
35198,Alenquer ***Brazil ***
35198,All Other Brazil Ports North of Recife ***Brazil ***
35199,All Other Brazil Ports South of Recife ***Brazil ***
35198,Amarracao ***Brazil ***
35107,Angra dos Reis ***Brazil ***
35159,Antonina ***Brazil ***
35199,Aracaju ***Brazil ***
35198,Aracati ***Brazil ***
35115,Aratu ***Brazil ***
35198,Areia Branca ***Brazil ***
35159,Barao de Teffe ***Brazil ***
35121,Barcarena ***Brazil ***
35199,Barro do Riacho ***Brazil ***
35121,Belem ***Brazil ***
35198,Boa Vista ***Brazil ***
35123,Breves ***Brazil ***
35127,Cabedelo ***Brazil ***
35198,Camocim ***Brazil ***
35133,Ceara ***Brazil ***
35133,Fortaleza ***Brazil ***
35137,Ilheus ***Brazil ***
35178,Imbituba ***Brazil ***
35139,Itacoatiara ***Brazil ***
35138,Itajai; Itajay ***Brazil ***
35135,Itaqui ***Brazil ***
35127,Joao Pessoa ***Brazil ***
35198,Luis Correia ***Brazil ***
35165,Macapa ***Brazil ***
35141,Maceio ***Brazil ***
35113,Madre de Deus ***Brazil ***
35137,Malhado ***Brazil ***
35144,Manaus ***Brazil ***
35198,Mossoro ***Brazil ***
35133,Mucuripe ***Brazil ***
35164,Munguba ***Brazil ***
35157,Natal ***Brazil ***
35136,Navegantes ***Brazil ***
35171,Niteroi ***Brazil ***
35158,Obidos ***Brazil ***
35198,Oriximina ***Brazil ***
35121,Para ***Brazil ***
35159,Paranagua ***Brazil ***
35163,Parnaiba ***Brazil ***
35120,Pecem; Port do Pecem ***Brazil ***
35199,Pelotas ***Brazil ***
35169,Pernambuco ***Brazil ***
35166,Point Ubu; Ponta do Ubu ***Brazil ***
35168,Ponta da Madeira ***Brazil ***
